pattern,k,frequency,expected occurrences,percentage
rnno,4,28,0.010687022900763359,1.0687022900763359
1,1,1058,0.40381679389312974,39.38931297709924
n1,2,49,0.01870229007633588,1.870229007633588
1s,2,112,0.042748091603053436,4.2748091603053435
sr,2,37,0.014122137404580152,1.4122137404580153
nn1,3,7,0.0026717557251908397,0.26717557251908397
n1s,3,4,0.0015267175572519084,0.15267175572519084
1sr,3,5,0.0019083969465648854,0.19083969465648853
srn,3,37,0.014122137404580152,1.4122137404580153
nn1s,4,1,0.0003816793893129771,0.03816793893129771
n1sr,4,1,0.0003816793893129771,0.03816793893129771
1srn,4,4,0.0015267175572519084,0.15267175572519084
nnn,3,95,0.03625954198473282,3.0534351145038165
rnnn,4,26,0.009923664122137405,0.9923664122137404
a,1,340,0.1297709923664122,12.442748091603054
1a,2,84,0.03206106870229008,3.2061068702290076
an,2,48,0.0183206106870229,1.8320610687022902
1an,3,19,0.007251908396946565,0.7251908396946565
ano,3,18,0.006870229007633588,0.6870229007633588
ann,3,8,0.0030534351145038168,0.3053435114503817
5,1,49,0.01870229007633588,1.870229007633588
15,2,4,0.0015267175572519084,0.15267175572519084
5n,2,5,0.0019083969465648854,0.19083969465648853
nt,2,334,0.12748091603053435,12.51908396946565
to,2,650,0.2480916030534351,23.893129770992367
15n,3,2,0.0007633587786259542,0.07633587786259542
5nt,3,1,0.0003816793893129771,0.03816793893129771
nto,3,79,0.03015267175572519,3.015267175572519
15nt,4,1,0.0003816793893129771,0.03816793893129771
5nto,4,1,0.0003816793893129771,0.03816793893129771
oo,2,1338,0.5106870229007634,32.175572519083964
3oo,3,41,0.015648854961832062,1.5648854961832062
oot,3,112,0.042748091603053436,4.236641221374046
oto,3,126,0.048091603053435114,4.732824427480916
3oot,4,6,0.0022900763358778627,0.22900763358778628
ooto,4,29,0.011068702290076336,1.1068702290076335
3t,2,158,0.06030534351145038,5.916030534351145
na,2,57,0.021755725190839695,2.1755725190839694
3tn,3,33,0.012595419847328244,1.2595419847328244
tna,3,10,0.003816793893129771,0.38167938931297707
q,1,443,0.16908396946564885,16.56488549618321
3q,2,30,0.011450381679389313,1.1450381679389312
qt,2,442,0.1687022900763359,16.526717557251906
3qt,3,29,0.011068702290076336,1.1068702290076335
qtn,3,67,0.025572519083969465,2.5572519083969465
tno,3,99,0.03778625954198473,3.778625954198473
noo,3,214,0.0816793893129771,8.167938931297709
3qtn,4,3,0.0011450381679389313,0.11450381679389314
qtno,4,19,0.007251908396946565,0.7251908396946565
tnoo,4,30,0.011450381679389313,1.1450381679389312
2to,3,84,0.03206106870229008,3.2061068702290076
tot,3,57,0.021755725190839695,2.1755725190839694
otn,3,60,0.022900763358778626,2.2900763358778624
tnn,3,80,0.030534351145038167,3.0534351145038165
2tot,4,9,0.003435114503816794,0.3435114503816794
totn,4,6,0.0022900763358778627,0.22900763358778628
otnn,4,11,0.004198473282442748,0.41984732824427484
ootn,4,12,0.004580152671755725,0.45801526717557256
tt,2,235,0.08969465648854962,8.015267175572518
ott,3,45,0.01717557251908397,1.717557251908397
oott,4,9,0.003435114503816794,0.3435114503816794
2tr,3,33,0.012595419847328244,1.2595419847328244
non,3,100,0.03816793893129771,3.6641221374045805
ono,3,147,0.056106870229007635,5.419847328244274
2trn,4,32,0.012213740458015267,1.2213740458015268
rnon,4,18,0.006870229007633588,0.6870229007633588
nono,4,24,0.00916030534351145,0.9160305343511451
nonn,4,15,0.0057251908396946565,0.5343511450381679
o1,2,90,0.03435114503816794,3.435114503816794
1o,2,357,0.13625954198473283,13.473282442748092
o1o,3,39,0.014885496183206106,1.4885496183206106
1oo,3,133,0.05076335877862596,5.076335877862595
oon,3,152,0.05801526717557252,5.801526717557252
ont,3,60,0.022900763358778626,2.2900763358778624
o1oo,4,11,0.004198473282442748,0.41984732824427484
1oon,4,10,0.003816793893129771,0.38167938931297707
oont,4,16,0.0061068702290076335,0.6106870229007634
2tt,3,38,0.01450381679389313,1.450381679389313
ttn,3,34,0.012977099236641221,1.297709923664122
tnt,3,39,0.014885496183206106,1.450381679389313
2ttn,4,9,0.003435114503816794,0.3435114503816794
ttnt,4,1,0.0003816793893129771,0.03816793893129771
tnto,4,7,0.0026717557251908397,0.26717557251908397
ooo,3,444,0.16946564885496182,10.877862595419847
3tno,4,7,0.0026717557251908397,0.26717557251908397
nooo,4,65,0.02480916030534351,2.480916030534351
nq,2,60,0.022900763358778626,2.2900763358778624
ton,3,91,0.034732824427480914,3.4732824427480913
onq,3,11,0.004198473282442748,0.41984732824427484
nqt,3,59,0.02251908396946565,2.2519083969465647
tonq,4,2,0.0007633587786259542,0.07633587786259542
onqt,4,10,0.003816793893129771,0.38167938931297707
ao,2,122,0.046564885496183206,4.580152671755725
1ao,3,36,0.013740458015267175,1.3740458015267176
aot,3,8,0.0030534351145038168,0.3053435114503817
2n,2,101,0.038549618320610685,3.8549618320610683
2nn,3,16,0.0061068702290076335,0.6106870229007634
2nno,4,7,0.0026717557251908397,0.26717557251908397
ts,2,70,0.026717557251908396,2.6717557251908395
s2,2,10,0.003816793893129771,0.38167938931297707
ts2,3,2,0.0007633587786259542,0.07633587786259542
s2o,3,4,0.0015267175572519084,0.15267175572519084
2oo,3,87,0.033206106870229006,3.3206106870229006
ts2o,4,1,0.0003816793893129771,0.03816793893129771
s2oo,4,1,0.0003816793893129771,0.03816793893129771
nnon,4,17,0.0064885496183206106,0.6106870229007634
tnnn,4,11,0.004198473282442748,0.41984732824427484
nnoo,4,31,0.01183206106870229,1.183206106870229
aoo,3,45,0.01717557251908397,1.717557251908397
or,2,258,0.0984732824427481,9.770992366412214
oor,3,81,0.030916030534351144,3.091603053435114
orn,3,257,0.09809160305343512,9.732824427480915
noor,4,11,0.004198473282442748,0.41984732824427484
oorn,4,80,0.030534351145038167,3.0534351145038165
oa,2,112,0.042748091603053436,4.236641221374046
3to,3,54,0.020610687022900764,2.0610687022900764
toa,3,12,0.004580152671755725,0.45801526717557256
3n,2,50,0.019083969465648856,1.9083969465648856
3nt,3,16,0.0061068702290076335,0.6106870229007634
ntt,3,30,0.011450381679389313,1.1450381679389312
tto,3,70,0.026717557251908396,2.6717557251908395
too,3,216,0.08244274809160305,8.244274809160306
3ntt,4,4,0.0015267175572519084,0.15267175572519084
ntto,4,6,0.0022900763358778627,0.22900763358778628
ttoo,4,17,0.0064885496183206106,0.648854961832061
1ooo,4,49,0.01870229007633588,1.870229007633588
oooo,4,155,0.05916030534351145,3.740458015267176
t3,2,14,0.0053435114503816794,0.5343511450381679
3a,2,2,0.0007633587786259542,0.07633587786259542
1ot,3,29,0.011068702290076336,1.1068702290076335
ot3,3,4,0.0015267175572519084,0.15267175572519084
t3a,3,1,0.0003816793893129771,0.03816793893129771
3ao,3,2,0.0007633587786259542,0.07633587786259542
1ot3,4,1,0.0003816793893129771,0.03816793893129771
ot3a,4,1,0.0003816793893129771,0.03816793893129771
t3ao,4,1,0.0003816793893129771,0.03816793893129771
3aoo,4,1,0.0003816793893129771,0.03816793893129771
1n,2,258,0.0984732824427481,9.694656488549619
1nt,3,36,0.013740458015267175,1.3740458015267176
tor,3,41,0.015648854961832062,1.5648854961832062
1nto,4,9,0.003435114503816794,0.3435114503816794
ntor,4,4,0.0015267175572519084,0.15267175572519084
torn,4,40,0.015267175572519083,1.5267175572519083
aoa,3,3,0.0011450381679389313,0.11450381679389314
os,2,114,0.04351145038167939,4.312977099236641
1os,3,25,0.009541984732824428,0.9541984732824428
osr,3,12,0.004580152671755725,0.45801526717557256
1osr,4,3,0.0011450381679389313,0.11450381679389314
osrn,4,11,0.004198473282442748,0.41984732824427484
aon,3,13,0.004961832061068702,0.4961832061068702
1t,2,89,0.03396946564885496,3.3587786259541987
oo1,3,24,0.00916030534351145,0.9160305343511451
o1t,3,4,0.0015267175572519084,0.15267175572519084
1tn,3,18,0.006870229007633588,0.6870229007633588
2oo1,4,4,0.0015267175572519084,0.15267175572519084
oo1t,4,1,0.0003816793893129771,0.03816793893129771
o1tn,4,1,0.0003816793893129771,0.03816793893129771
nor,3,46,0.017557251908396947,1.7557251908396947
norn,4,45,0.01717557251908397,1.717557251908397
ornn,4,68,0.025954198473282442,2.595419847328244
nnnn,4,13,0.004961832061068702,0.45801526717557256
3ooo,4,15,0.0057251908396946565,0.5725190839694656
ooot,4,34,0.012977099236641221,1.297709923664122
otno,4,11,0.004198473282442748,0.41984732824427484
anr,3,3,0.0011450381679389313,0.11450381679389314
1anr,4,2,0.0007633587786259542,0.07633587786259542
anrn,4,2,0.0007633587786259542,0.07633587786259542
2q,2,81,0.030916030534351144,3.091603053435114
2qt,3,80,0.030534351145038167,3.0534351145038165
qtt,3,45,0.01717557251908397,1.717557251908397
ttt,3,23,0.008778625954198474,0.8015267175572519
2qtt,4,9,0.003435114503816794,0.3435114503816794
qttt,4,4,0.0015267175572519084,0.15267175572519084
ttto,4,3,0.0011450381679389313,0.11450381679389314
1or,3,15,0.0057251908396946565,0.5725190839694656
o1or,4,1,0.0003816793893129771,0.03816793893129771
1orn,4,14,0.0053435114503816794,0.5343511450381679
tns,3,9,0.003435114503816794,0.3435114503816794
tttt,4,1,0.0003816793893129771,0.03816793893129771
7,1,26,0.009923664122137405,0.9923664122137404
n7,2,2,0.0007633587786259542,0.07633587786259542
7o,2,5,0.0019083969465648854,0.19083969465648853
tn7,3,1,0.0003816793893129771,0.03816793893129771
n7o,3,1,0.0003816793893129771,0.03816793893129771
7oo,3,2,0.0007633587786259542,0.07633587786259542
1tn7,4,1,0.0003816793893129771,0.03816793893129771
tn7o,4,1,0.0003816793893129771,0.03816793893129771
n7oo,4,1,0.0003816793893129771,0.03816793893129771
orno,4,52,0.01984732824427481,1.9465648854961832
2nnn,4,2,0.0007633587786259542,0.07633587786259542
nnno,4,15,0.0057251908396946565,0.5343511450381679
21,2,9,0.003435114503816794,0.3435114503816794
21o,3,5,0.0019083969465648854,0.19083969465648853
3oto,4,7,0.0026717557251908397,0.26717557251908397
otoo,4,42,0.01603053435114504,1.6030534351145038
too1,4,4,0.0015267175572519084,0.15267175572519084
oo1o,4,14,0.0053435114503816794,0.5343511450381679
qtnr,4,2,0.0007633587786259542,0.07633587786259542
tsr,3,13,0.004961832061068702,0.4961832061068702
tsrn,4,13,0.004961832061068702,0.4961832061068702
srnn,4,8,0.0030534351145038168,0.3053435114503817
12,2,10,0.003816793893129771,0.38167938931297707
12t,3,2,0.0007633587786259542,0.07633587786259542
srno,4,7,0.0026717557251908397,0.26717557251908397
3ton,4,8,0.0030534351145038168,0.3053435114503817
tono,4,20,0.007633587786259542,0.7633587786259541
onoo,4,44,0.016793893129770993,1.6793893129770994
ttnr,4,1,0.0003816793893129771,0.03816793893129771
5t,2,13,0.004961832061068702,0.4961832061068702
5tn,3,2,0.0007633587786259542,0.07633587786259542
nnt,3,44,0.016793893129770993,1.6793893129770994
5tnn,4,1,0.0003816793893129771,0.03816793893129771
tnnt,4,6,0.0022900763358778627,0.22900763358778628
4,1,66,0.025190839694656488,2.519083969465649
o4,2,25,0.009541984732824428,0.9541984732824428
4a,2,3,0.0011450381679389313,0.11450381679389314
at,2,29,0.011068702290076336,1.1068702290076335
t1,2,79,0.03015267175572519,3.015267175572519
st,2,26,0.009923664122137405,0.9923664122137404
oo4,3,13,0.004961832061068702,0.4961832061068702
o4a,3,2,0.0007633587786259542,0.07633587786259542
4at,3,1,0.0003816793893129771,0.03816793893129771
at1,3,1,0.0003816793893129771,0.03816793893129771
t1o,3,45,0.01717557251908397,1.717557251908397
ost,3,5,0.0019083969465648854,0.19083969465648853
oo4a,4,2,0.0007633587786259542,0.07633587786259542
o4at,4,1,0.0003816793893129771,0.03816793893129771
4at1,4,1,0.0003816793893129771,0.03816793893129771
at1o,4,1,0.0003816793893129771,0.03816793893129771
t1os,4,2,0.0007633587786259542,0.07633587786259542
1ost,4,2,0.0007633587786259542,0.07633587786259542
1na,3,14,0.0053435114503816794,0.5343511450381679
nat,3,4,0.0015267175572519084,0.15267175572519084
atr,3,4,0.0015267175572519084,0.15267175572519084
1nat,4,2,0.0007633587786259542,0.07633587786259542
natr,4,1,0.0003816793893129771,0.03816793893129771
atrn,4,3,0.0011450381679389313,0.11450381679389314
21n,3,1,0.0003816793893129771,0.03816793893129771
1no,3,88,0.03358778625954199,3.3587786259541987
oq,2,79,0.03015267175572519,3.015267175572519
ooq,3,16,0.0061068702290076335,0.6106870229007634
oqt,3,78,0.029770992366412213,2.9770992366412212
2ooq,4,5,0.0019083969465648854,0.19083969465648853
ooqt,4,15,0.0057251908396946565,0.5725190839694656
oqtt,4,9,0.003435114503816794,0.3435114503816794
qtto,4,16,0.0061068702290076335,0.6106870229007634
o2,2,56,0.021374045801526718,2.099236641221374
2o2,3,7,0.0026717557251908397,0.22900763358778628
o2t,3,19,0.007251908396946565,0.7251908396946565
2o2t,4,4,0.0015267175572519084,0.15267175572519084
o2to,4,4,0.0015267175572519084,0.15267175572519084
2too,4,29,0.011068702290076336,1.1068702290076335
rnoo,4,39,0.014885496183206106,1.4885496183206106
1r,2,44,0.016793893129770993,1.6793893129770994
1rn,3,43,0.016412213740458016,1.6412213740458017
1rno,4,13,0.004961832061068702,0.4961832061068702
ooor,4,30,0.011450381679389313,1.1450381679389312
nnr,3,24,0.00916030534351145,0.9160305343511451
onnr,4,3,0.0011450381679389313,0.11450381679389314
nnrn,4,23,0.008778625954198474,0.8778625954198473
ar,2,37,0.014122137404580152,1.3740458015267176
ooa,3,34,0.012977099236641221,1.2595419847328244
oar,3,12,0.004580152671755725,0.45801526717557256
arn,3,37,0.014122137404580152,1.3740458015267176
3too,4,23,0.008778625954198474,0.8778625954198473
tooa,4,4,0.0015267175572519084,0.15267175572519084
ooar,4,5,0.0019083969465648854,0.19083969465648853
oarn,4,12,0.004580152671755725,0.45801526717557256
tos,3,25,0.009541984732824428,0.9541984732824428
tq,2,49,0.01870229007633588,1.870229007633588
3tq,3,6,0.0022900763358778627,0.22900763358778628
tqt,3,48,0.0183206106870229,1.8320610687022902
qtr,3,43,0.016412213740458016,1.6412213740458017
3tqt,4,5,0.0019083969465648854,0.19083969465648853
tqtr,4,5,0.0019083969465648854,0.19083969465648853
qtrn,4,42,0.01603053435114504,1.6030534351145038
sq,2,16,0.0061068702290076335,0.6106870229007634
osq,3,5,0.0019083969465648854,0.19083969465648853
sqt,3,16,0.0061068702290076335,0.6106870229007634
1osq,4,1,0.0003816793893129771,0.03816793893129771
osqt,4,4,0.0015267175572519084,0.15267175572519084
1ano,4,9,0.003435114503816794,0.3435114503816794
anot,4,1,0.0003816793893129771,0.03816793893129771
aq,2,7,0.0026717557251908397,0.26717557251908397
1aq,3,2,0.0007633587786259542,0.07633587786259542
aqt,3,6,0.0022900763358778627,0.22900763358778628
1aoo,4,18,0.006870229007633588,0.6870229007633588
aoor,4,2,0.0007633587786259542,0.07633587786259542
1on,3,49,0.01870229007633588,1.870229007633588
1ont,4,5,0.0019083969465648854,0.19083969465648853
onto,4,21,0.00801526717557252,0.8015267175572519
ntoo,4,22,0.008396946564885497,0.8396946564885497
ttr,3,28,0.010687022900763359,1.0687022900763359
nttr,4,4,0.0015267175572519084,0.15267175572519084
ttrn,4,27,0.010305343511450382,1.0305343511450382
onr,3,31,0.01183206106870229,1.183206106870229
3tr,3,12,0.004580152671755725,0.45801526717557256
rnt,3,59,0.02251908396946565,2.2519083969465647
3trn,4,11,0.004198473282442748,0.41984732824427484
trnt,4,17,0.0064885496183206106,0.648854961832061
trnn,4,50,0.019083969465648856,1.9083969465648856
o3,2,27,0.010305343511450382,1.0305343511450382
3r,2,3,0.0011450381679389313,0.11450381679389314
1o3,3,3,0.0011450381679389313,0.11450381679389314
o3r,3,1,0.0003816793893129771,0.03816793893129771
3rn,3,3,0.0011450381679389313,0.11450381679389314
1o3r,4,1,0.0003816793893129771,0.03816793893129771
o3rn,4,1,0.0003816793893129771,0.03816793893129771
qttr,4,9,0.003435114503816794,0.3435114503816794
oqtn,4,9,0.003435114503816794,0.3435114503816794
2o1,3,11,0.004198473282442748,0.41984732824427484
o1s,3,7,0.0026717557251908397,0.26717557251908397
1s2,3,5,0.0019083969465648854,0.19083969465648853
2o1s,4,2,0.0007633587786259542,0.07633587786259542
o1s2,4,1,0.0003816793893129771,0.03816793893129771
oao,3,41,0.015648854961832062,1.5648854961832062
oooa,4,8,0.0030534351145038168,0.3053435114503817
ooao,4,11,0.004198473282442748,0.41984732824427484
ttno,4,8,0.0030534351145038168,0.3053435114503817
tnot,4,10,0.003816793893129771,0.38167938931297707
t1n,3,13,0.004961832061068702,0.4961832061068702
rnor,4,5,0.0019083969465648854,0.19083969465648853
2onq,4,3,0.0011450381679389313,0.11450381679389314
nqtn,4,11,0.004198473282442748,0.41984732824427484
qtnn,4,10,0.003816793893129771,0.38167938931297707
noa,3,18,0.006870229007633588,0.6870229007633588
anoa,4,1,0.0003816793893129771,0.03816793893129771
2tto,4,12,0.004580152671755725,0.45801526717557256
tton,4,9,0.003435114503816794,0.3435114503816794
tonn,4,21,0.00801526717557252,0.8015267175572519
onnn,4,14,0.0053435114503816794,0.5343511450381679
so,2,128,0.04885496183206107,4.847328244274809
oso,3,29,0.011068702290076336,1.1068702290076335
son,3,13,0.004961832061068702,0.4961832061068702
1oso,4,6,0.0022900763358778627,0.22900763358778628
oson,4,3,0.0011450381679389313,0.11450381679389314
soo,3,44,0.016793893129770993,1.6793893129770994
osoo,4,10,0.003816793893129771,0.38167938931297707
3tt,3,17,0.0064885496183206106,0.648854961832061
tt1,3,5,0.0019083969465648854,0.19083969465648853
3tt1,4,1,0.0003816793893129771,0.03816793893129771
tt1o,4,4,0.0015267175572519084,0.15267175572519084
1ntt,4,3,0.0011450381679389313,0.11450381679389314
3tor,4,5,0.0019083969465648854,0.19083969465648853
tooo,4,77,0.029389312977099236,2.9389312977099236
1ar,3,7,0.0026717557251908397,0.26717557251908397
anon,4,2,0.0007633587786259542,0.07633587786259542
n3,2,14,0.0053435114503816794,0.5343511450381679
rn3,3,1,0.0003816793893129771,0.03816793893129771
n3t,3,7,0.0026717557251908397,0.26717557251908397
orn3,4,1,0.0003816793893129771,0.03816793893129771
rn3t,4,1,0.0003816793893129771,0.03816793893129771
anoo,4,5,0.0019083969465648854,0.19083969465648853
sn,2,55,0.02099236641221374,2.099236641221374
3ts,3,7,0.0026717557251908397,0.26717557251908397
tsn,3,14,0.0053435114503816794,0.5343511450381679
rnr,3,30,0.011450381679389313,1.0687022900763359
nrnr,4,6,0.0022900763358778627,0.15267175572519084
rnrn,4,30,0.011450381679389313,1.0687022900763359
tso,3,20,0.007633587786259542,0.7633587786259541
ta,2,51,0.019465648854961833,1.9465648854961832
3ta,3,5,0.0019083969465648854,0.19083969465648853
tan,3,9,0.003435114503816794,0.3435114503816794
3tan,4,1,0.0003816793893129771,0.03816793893129771
tano,4,3,0.0011450381679389313,0.11450381679389314
rnq,3,9,0.003435114503816794,0.3435114503816794
qto,3,129,0.04923664122137405,4.923664122137405
ornq,4,3,0.0011450381679389313,0.11450381679389314
rnqt,4,9,0.003435114503816794,0.3435114503816794
nqto,4,12,0.004580152671755725,0.45801526717557256
n2,2,70,0.026717557251908396,2.6717557251908395
rn2,3,4,0.0015267175572519084,0.15267175572519084
n2t,3,28,0.010687022900763359,1.0687022900763359
trn2,4,2,0.0007633587786259542,0.07633587786259542
rn2t,4,1,0.0003816793893129771,0.03816793893129771
1sn,3,21,0.00801526717557252,0.8015267175572519
sno,3,19,0.007251908396946565,0.7251908396946565
1sno,4,9,0.003435114503816794,0.3435114503816794
snor,4,3,0.0011450381679389313,0.11450381679389314
aa,2,5,0.0019083969465648854,0.19083969465648853
1aa,3,3,0.0011450381679389313,0.11450381679389314
aat,3,1,0.0003816793893129771,0.03816793893129771
ato,3,11,0.004198473282442748,0.41984732824427484
1aat,4,1,0.0003816793893129771,0.03816793893129771
aato,4,1,0.0003816793893129771,0.03816793893129771
ntn,3,48,0.0183206106870229,1.8320610687022902
n4,2,12,0.004580152671755725,0.45801526717557256
4o,2,30,0.011450381679389313,1.1450381679389312
on4,3,4,0.0015267175572519084,0.15267175572519084
n4o,3,6,0.0022900763358778627,0.22900763358778628
4on,3,5,0.0019083969465648854,0.19083969465648853
1on4,4,2,0.0007633587786259542,0.07633587786259542
on4o,4,1,0.0003816793893129771,0.03816793893129771
n4on,4,2,0.0007633587786259542,0.07633587786259542
osn,3,10,0.003816793893129771,0.38167938931297707
1osn,4,4,0.0015267175572519084,0.15267175572519084
osno,4,3,0.0011450381679389313,0.11450381679389314
tnon,4,14,0.0053435114503816794,0.5343511450381679
n5,2,10,0.003816793893129771,0.38167938931297707
1nn,3,52,0.01984732824427481,1.984732824427481
nn5,3,3,0.0011450381679389313,0.11450381679389314
nts,3,9,0.003435114503816794,0.3435114503816794
1nts,4,2,0.0007633587786259542,0.07633587786259542
ntso,4,2,0.0007633587786259542,0.07633587786259542
nton,4,7,0.0026717557251908397,0.26717557251908397
tao,3,13,0.004961832061068702,0.4961832061068702
3tao,4,2,0.0007633587786259542,0.07633587786259542
taon,4,2,0.0007633587786259542,0.07633587786259542
as,2,4,0.0015267175572519084,0.15267175572519084
1as,3,4,0.0015267175572519084,0.15267175572519084
asn,3,2,0.0007633587786259542,0.07633587786259542
1ann,4,2,0.0007633587786259542,0.07633587786259542
anno,4,3,0.0011450381679389313,0.11450381679389314
rn1,3,10,0.003816793893129771,0.38167938931297707
n1o,3,22,0.008396946564885497,0.8396946564885497
orn1,4,2,0.0007633587786259542,0.07633587786259542
rn1o,4,6,0.0022900763358778627,0.22900763358778628
2n2,3,1,0.0003816793893129771,0.03816793893129771
2n2t,4,1,0.0003816793893129771,0.03816793893129771
n2to,4,5,0.0019083969465648854,0.19083969465648853
2o1o,4,3,0.0011450381679389313,0.11450381679389314
nna,3,9,0.003435114503816794,0.3435114503816794
1oa,3,27,0.010305343511450382,1.0305343511450382
1oao,4,15,0.0057251908396946565,0.5725190839694656
oaoo,4,11,0.004198473282442748,0.41984732824427484
aoon,4,7,0.0026717557251908397,0.26717557251908397
oono,4,37,0.014122137404580152,1.4122137404580153
nrno,4,19,0.007251908396946565,0.7251908396946565
o1os,4,4,0.0015267175572519084,0.15267175572519084
o7,2,7,0.0026717557251908397,0.26717557251908397
no7,3,1,0.0003816793893129771,0.03816793893129771
otos,4,3,0.0011450381679389313,0.11450381679389314
toso,4,10,0.003816793893129771,0.38167938931297707
sooa,4,2,0.0007633587786259542,0.07633587786259542
o2n,3,5,0.0019083969465648854,0.19083969465648853
2nt,3,25,0.009541984732824428,0.9541984732824428
o2nt,4,1,0.0003816793893129771,0.03816793893129771
2nto,4,7,0.0026717557251908397,0.26717557251908397
o5,2,13,0.004961832061068702,0.4961832061068702
no5,3,1,0.0003816793893129771,0.03816793893129771
no4,3,2,0.0007633587786259542,0.07633587786259542
ntr,3,28,0.010687022900763359,1.0687022900763359
1ntr,4,8,0.0030534351145038168,0.3053435114503817
ntrn,4,27,0.010305343511450382,1.0305343511450382
nonq,4,1,0.0003816793893129771,0.03816793893129771
ttnn,4,8,0.0030534351145038168,0.3053435114503817
snr,3,3,0.0011450381679389313,0.11450381679389314
osnr,4,1,0.0003816793893129771,0.03816793893129771
snrn,4,3,0.0011450381679389313,0.11450381679389314
1at,3,4,0.0015267175572519084,0.15267175572519084
qt1,3,9,0.003435114503816794,0.3435114503816794
2qt1,4,2,0.0007633587786259542,0.07633587786259542
qt1o,4,7,0.0026717557251908397,0.26717557251908397
t1ot,4,3,0.0011450381679389313,0.11450381679389314
1oto,4,10,0.003816793893129771,0.38167938931297707
1o4,3,7,0.0026717557251908397,0.26717557251908397
o4o,3,8,0.0030534351145038168,0.3053435114503817
4oo,3,11,0.004198473282442748,0.41984732824427484
1o4o,4,3,0.0011450381679389313,0.11450381679389314
o4oo,4,3,0.0011450381679389313,0.11450381679389314
4ooo,4,4,0.0015267175572519084,0.15267175572519084
4oot,4,1,0.0003816793893129771,0.03816793893129771
14,2,16,0.0061068702290076335,0.6106870229007634
14o,3,8,0.0030534351145038168,0.3053435114503817
4ot,3,2,0.0007633587786259542,0.07633587786259542
14ot,4,1,0.0003816793893129771,0.03816793893129771
4oto,4,1,0.0003816793893129771,0.03816793893129771
o1n,3,18,0.006870229007633588,0.6870229007633588
2o1n,4,4,0.0015267175572519084,0.15267175572519084
o1na,4,2,0.0007633587786259542,0.07633587786259542
1q,2,38,0.01450381679389313,1.450381679389313
t2,2,23,0.008778625954198474,0.8778625954198473
1qt,3,37,0.014122137404580152,1.4122137404580153
qt2,3,5,0.0019083969465648854,0.19083969465648853
t2o,3,11,0.004198473282442748,0.41984732824427484
1qt2,4,2,0.0007633587786259542,0.07633587786259542
qt2o,4,3,0.0011450381679389313,0.11450381679389314
t2oo,4,5,0.0019083969465648854,0.19083969465648853
ottr,4,4,0.0015267175572519084,0.15267175572519084
1ns,3,11,0.004198473282442748,0.41984732824427484
tqto,4,14,0.0053435114503816794,0.5343511450381679
qtot,4,9,0.003435114503816794,0.3435114503816794
qtoo,4,40,0.015267175572519083,1.5267175572519083
ntq,3,4,0.0015267175572519084,0.15267175572519084
1ntq,4,1,0.0003816793893129771,0.03816793893129771
ntqt,4,3,0.0011450381679389313,0.11450381679389314
oos,3,29,0.011068702290076336,1.1068702290076335
1oos,4,7,0.0026717557251908397,0.26717557251908397
ooso,4,6,0.0022900763358778627,0.22900763358778628
t1no,4,4,0.0015267175572519084,0.15267175572519084
1not,4,9,0.003435114503816794,0.3435114503816794
1qtr,4,3,0.0011450381679389313,0.11450381679389314
1so,3,52,0.01984732824427481,1.984732824427481
1soo,4,21,0.00801526717557252,0.8015267175572519
