pattern,k,frequency,expected occurrences,percentage
ortp,4,3,0.007334963325183374,0.7334963325183375
rtpo,4,3,0.007334963325183374,0.7334963325183375
tpoo,4,21,0.05134474327628362,5.134474327628362
poor,4,40,0.097799511002445,9.7799511002445
oorn,4,89,0.2176039119804401,21.515892420537895
ot,2,113,0.2762836185819071,24.69437652811736
tot,3,3,0.007334963325183374,0.7334963325183375
otr,3,36,0.08801955990220049,8.80195599022005
2tot,4,1,0.0024449877750611247,0.24449877750611246
totr,4,1,0.0024449877750611247,0.24449877750611246
otrn,4,27,0.06601466992665037,6.601466992665037
no,2,28,0.06845965770171149,6.845965770171149
1tr,3,7,0.017114914425427872,1.7114914425427872
rno,3,22,0.05378973105134474,5.378973105134474
not,3,16,0.039119804400977995,3.9119804400977993
1trn,4,1,0.0024449877750611247,0.24449877750611246
trno,4,13,0.03178484107579462,3.1784841075794623
rnot,4,16,0.039119804400977995,3.9119804400977993
ta,2,15,0.03667481662591687,3.6674816625916873
ao,2,43,0.10513447432762836,10.513447432762836
1ta,3,1,0.0024449877750611247,0.24449877750611246
tao,3,6,0.014669926650366748,1.466992665036675
aor,3,16,0.039119804400977995,3.9119804400977993
1tao,4,1,0.0024449877750611247,0.24449877750611246
taor,4,4,0.009779951100244499,0.9779951100244498
aorn,4,5,0.012224938875305624,1.2224938875305624
orno,4,9,0.022004889975550123,2.2004889975550124
trt,3,27,0.06601466992665037,6.356968215158925
1trt,4,3,0.007334963325183374,0.7334963325183375
trtr,4,12,0.029339853300733496,2.689486552567237
1o,2,27,0.06601466992665037,6.601466992665037
1ot,3,9,0.022004889975550123,2.2004889975550124
1otr,4,5,0.012224938875305624,1.2224938875305624
1p,2,13,0.03178484107579462,3.1784841075794623
1po,3,10,0.02444987775061125,2.444987775061125
pot,3,18,0.044009779951100246,4.400977995110025
1pot,4,4,0.009779951100244499,0.9779951100244498
potr,4,7,0.017114914425427872,1.7114914425427872
oto,3,21,0.05134474327628362,5.134474327628362
too,3,53,0.1295843520782396,12.224938875305623
ooo,3,200,0.4889975550122249,26.161369193154034
poto,4,5,0.012224938875305624,1.2224938875305624
otoo,4,12,0.029339853300733496,2.93398533007335
tooo,4,20,0.0488997555012225,4.88997555012225
ooor,4,48,0.11735941320293398,11.7359413202934
rp,2,24,0.05867970660146699,5.623471882640587
trp,3,5,0.012224938875305624,1.2224938875305624
rpo,3,21,0.05134474327628362,5.134474327628362
1trp,4,1,0.0024449877750611247,0.24449877750611246
trpo,4,5,0.012224938875305624,1.2224938875305624
rpot,4,5,0.012224938875305624,1.2224938875305624
1tp,3,7,0.017114914425427872,1.7114914425427872
1tpo,4,7,0.017114914425427872,1.7114914425427872
2tp,3,8,0.019559902200488997,1.9559902200488997
por,3,62,0.15158924205378974,14.66992665036675
2tpo,4,7,0.017114914425427872,1.7114914425427872
tpor,4,3,0.007334963325183374,0.7334963325183375
porn,4,28,0.06845965770171149,6.845965770171149
5,1,50,0.12224938875305623,12.224938875305623
t5,2,1,0.0024449877750611247,0.24449877750611246
5o,2,18,0.044009779951100246,4.400977995110025
od,2,12,0.029339853300733496,2.93398533007335
dd,2,1,0.0024449877750611247,0.24449877750611246
rt5,3,1,0.0024449877750611247,0.24449877750611246
t5o,3,1,0.0024449877750611247,0.24449877750611246
5oo,3,10,0.02444987775061125,2.444987775061125
ood,3,8,0.019559902200488997,1.9559902200488997
odd,3,1,0.0024449877750611247,0.24449877750611246
ddr,3,1,0.0024449877750611247,0.24449877750611246
rt5o,4,1,0.0024449877750611247,0.24449877750611246
t5oo,4,1,0.0024449877750611247,0.24449877750611246
5ooo,4,5,0.012224938875305624,1.2224938875305624
oood,4,3,0.007334963325183374,0.7334963325183375
oodd,4,1,0.0024449877750611247,0.24449877750611246
oddr,4,1,0.0024449877750611247,0.24449877750611246
ddrn,4,1,0.0024449877750611247,0.24449877750611246
2tr,3,11,0.02689486552567237,2.689486552567237
2trt,4,3,0.007334963325183374,0.7334963325183375
ro,2,62,0.15158924205378974,12.71393643031785
tro,3,11,0.02689486552567237,2.689486552567237
roa,3,4,0.009779951100244499,0.9779951100244498
oao,3,24,0.05867970660146699,5.8679706601467
oro,3,44,0.10757946210268948,9.7799511002445
rot,3,20,0.0488997555012225,4.88997555012225
2tro,4,4,0.009779951100244499,0.9779951100244498
troa,4,3,0.007334963325183374,0.7334963325183375
roao,4,3,0.007334963325183374,0.7334963325183375
oaor,4,10,0.02444987775061125,2.444987775061125
aoro,4,8,0.019559902200488997,1.9559902200488997
orot,4,16,0.039119804400977995,3.9119804400977993
rotr,4,9,0.022004889975550123,2.2004889975550124
roo,3,19,0.04645476772616137,4.400977995110025
ooa,3,16,0.039119804400977995,3.9119804400977993
troo,4,3,0.007334963325183374,0.7334963325183375
rooa,4,2,0.004889975550122249,0.4889975550122249
ooao,4,11,0.02689486552567237,2.689486552567237
3,1,29,0.07090464547677261,7.090464547677261
3o,2,12,0.029339853300733496,2.93398533007335
3ot,3,3,0.007334963325183374,0.7334963325183375
otp,3,5,0.012224938875305624,1.2224938875305624
3otp,4,1,0.0024449877750611247,0.24449877750611246
otpo,4,3,0.007334963325183374,0.7334963325183375
oort,4,23,0.05623471882640587,5.623471882640587
1oo,3,9,0.022004889975550123,2.2004889975550124
1oor,4,2,0.004889975550122249,0.4889975550122249
ar,2,8,0.019559902200488997,1.9559902200488997
1oa,3,3,0.007334963325183374,0.7334963325183375
oar,3,4,0.009779951100244499,0.9779951100244498
arn,3,2,0.004889975550122249,0.4889975550122249
1oar,4,1,0.0024449877750611247,0.24449877750611246
oarn,4,1,0.0024449877750611247,0.24449877750611246
2o,2,129,0.3154034229828851,31.54034229828851
2oo,3,63,0.15403422982885084,15.403422982885084
2oor,4,19,0.04645476772616137,4.645476772616137
1or,3,1,0.0024449877750611247,0.24449877750611246
1por,4,1,0.0024449877750611247,0.24449877750611246
6,1,13,0.03178484107579462,3.1784841075794623
6q,2,1,0.0024449877750611247,0.24449877750611246
6qt,3,1,0.0024449877750611247,0.24449877750611246
qta,3,4,0.009779951100244499,0.9779951100244498
6qta,4,1,0.0024449877750611247,0.24449877750611246
qtao,4,2,0.004889975550122249,0.4889975550122249
2ot,3,7,0.017114914425427872,1.7114914425427872
ota,3,4,0.009779951100244499,0.9779951100244498
2ota,4,1,0.0024449877750611247,0.24449877750611246
otao,4,1,0.0024449877750611247,0.24449877750611246
6o,2,5,0.012224938875305624,1.2224938875305624
6oa,3,1,0.0024449877750611247,0.24449877750611246
6oao,4,1,0.0024449877750611247,0.24449877750611246
1q,2,15,0.03667481662591687,3.6674816625916873
1qt,3,12,0.029339853300733496,2.93398533007335
1qtr,4,7,0.017114914425427872,1.7114914425427872
2too,4,6,0.014669926650366748,1.466992665036675
toor,4,14,0.034229828850855744,3.4229828850855744
pp,2,43,0.10513447432762836,9.7799511002445
op,2,113,0.2762836185819071,21.271393643031786
tpp,3,5,0.012224938875305624,1.2224938875305624
ppo,3,41,0.10024449877750612,9.7799511002445
pop,3,29,0.07090464547677261,6.845965770171149
opo,3,89,0.2176039119804401,17.114914425427873
2tpp,4,1,0.0024449877750611247,0.24449877750611246
tppo,4,5,0.012224938875305624,1.2224938875305624
ppop,4,7,0.017114914425427872,1.7114914425427872
popo,4,27,0.06601466992665037,6.356968215158925
opor,4,26,0.06356968215158924,6.356968215158925
tt,2,23,0.05623471882640587,4.400977995110025
2tt,3,2,0.004889975550122249,0.4889975550122249
ttr,3,7,0.017114914425427872,1.7114914425427872
2ttr,4,1,0.0024449877750611247,0.24449877750611246
ttrn,4,5,0.012224938875305624,1.2224938875305624
rto,3,23,0.05623471882640587,5.623471882640587
trto,4,7,0.017114914425427872,1.7114914425427872
rtor,4,3,0.007334963325183374,0.7334963325183375
1otp,4,1,0.0024449877750611247,0.24449877750611246
ror,3,16,0.039119804400977995,3.9119804400977993
1tro,4,2,0.004889975550122249,0.4889975550122249
tror,4,4,0.009779951100244499,0.9779951100244498
rorn,4,6,0.014669926650366748,1.466992665036675
1too,4,2,0.004889975550122249,0.4889975550122249
oooo,4,88,0.21515892420537897,10.268948655256724
3t,2,12,0.029339853300733496,2.93398533007335
3tp,3,4,0.009779951100244499,0.9779951100244498
3tpo,4,3,0.007334963325183374,0.7334963325183375
tq,2,15,0.03667481662591687,3.6674816625916873
qo,2,24,0.05867970660146699,5.8679706601467
3tq,3,1,0.0024449877750611247,0.24449877750611246
tqo,3,10,0.02444987775061125,2.444987775061125
qoo,3,12,0.029339853300733496,2.93398533007335
3tqo,4,1,0.0024449877750611247,0.24449877750611246
tqoo,4,5,0.012224938875305624,1.2224938875305624
qoor,4,8,0.019559902200488997,1.9559902200488997
pt,2,3,0.007334963325183374,0.7334963325183375
1pt,3,1,0.0024449877750611247,0.24449877750611246
pto,3,1,0.0024449877750611247,0.24449877750611246
top,3,7,0.017114914425427872,1.7114914425427872
1pto,4,1,0.0024449877750611247,0.24449877750611246
ptop,4,1,0.0024449877750611247,0.24449877750611246
topo,4,7,0.017114914425427872,1.7114914425427872
tpop,4,2,0.004889975550122249,0.4889975550122249
2top,4,1,0.0024449877750611247,0.24449877750611246
oop,3,45,0.1100244498777506,9.7799511002445
ooop,4,15,0.03667481662591687,3.4229828850855744
oopo,4,32,0.07823960880195599,7.090464547677261
opoo,4,35,0.08557457212713937,7.579462102689487
orq,3,23,0.05623471882640587,5.378973105134474
torq,4,1,0.0024449877750611247,0.24449877750611246
orqt,4,15,0.03667481662591687,3.6674816625916873
2ooo,4,21,0.05134474327628362,5.134474327628362
3p,2,2,0.004889975550122249,0.4889975550122249
ap,2,4,0.009779951100244499,0.9779951100244498
3po,3,2,0.004889975550122249,0.4889975550122249
poa,3,3,0.007334963325183374,0.7334963325183375
aoo,3,15,0.03667481662591687,3.6674816625916873
oap,3,2,0.004889975550122249,0.4889975550122249
apo,3,3,0.007334963325183374,0.7334963325183375
3poa,4,1,0.0024449877750611247,0.24449877750611246
poao,4,2,0.004889975550122249,0.4889975550122249
oaoo,4,8,0.019559902200488997,1.9559902200488997
aooa,4,1,0.0024449877750611247,0.24449877750611246
ooap,4,1,0.0024449877750611247,0.24449877750611246
oapo,4,2,0.004889975550122249,0.4889975550122249
3oo,3,4,0.009779951100244499,0.9779951100244498
3oop,4,1,0.0024449877750611247,0.24449877750611246
t1,2,2,0.004889975550122249,0.4889975550122249
2or,3,37,0.09046454767726161,9.04645476772616
orp,3,17,0.04156479217603912,3.9119804400977993
rt1,3,1,0.0024449877750611247,0.24449877750611246
t1o,3,1,0.0024449877750611247,0.24449877750611246
2orp,4,7,0.017114914425427872,1.7114914425427872
orpo,4,14,0.034229828850855744,3.4229828850855744
rpor,4,9,0.022004889975550123,2.2004889975550124
port,4,21,0.05134474327628362,5.134474327628362
ort1,4,1,0.0024449877750611247,0.24449877750611246
rt1o,4,1,0.0024449877750611247,0.24449877750611246
t1oo,4,1,0.0024449877750611247,0.24449877750611246
s,1,85,0.2078239608801956,18.337408312958438
qq,2,14,0.034229828850855744,3.1784841075794623
ts,2,23,0.05623471882640587,5.623471882640587
so,2,24,0.05867970660146699,5.8679706601467
qqt,3,7,0.017114914425427872,1.7114914425427872
qto,3,21,0.05134474327628362,5.134474327628362
oot,3,26,0.06356968215158924,6.112469437652812
ots,3,8,0.019559902200488997,1.9559902200488997
tso,3,5,0.012224938875305624,1.2224938875305624
soo,3,16,0.039119804400977995,3.9119804400977993
qqto,4,3,0.007334963325183374,0.7334963325183375
qtoo,4,9,0.022004889975550123,2.2004889975550124
toot,4,2,0.004889975550122249,0.4889975550122249
oots,4,3,0.007334963325183374,0.7334963325183375
otso,4,2,0.004889975550122249,0.4889975550122249
tsoo,4,4,0.009779951100244499,0.9779951100244498
sooo,4,10,0.02444987775061125,2.444987775061125
o5,2,1,0.0024449877750611247,0.24449877750611246
o5o,3,1,0.0024449877750611247,0.24449877750611246
5or,3,1,0.0024449877750611247,0.24449877750611246
o5or,4,1,0.0024449877750611247,0.24449877750611246
5orq,4,1,0.0024449877750611247,0.24449877750611246
rqto,4,7,0.017114914425427872,1.7114914425427872
qtor,4,5,0.012224938875305624,1.2224938875305624
2p,2,40,0.097799511002445,9.7799511002445
2po,3,35,0.08557457212713937,8.557457212713937
2poo,4,18,0.044009779951100246,4.400977995110025
rtrt,4,9,0.022004889975550123,2.2004889975550124
2q,2,10,0.02444987775061125,2.444987775061125
2qt,3,5,0.012224938875305624,1.2224938875305624
trq,3,3,0.007334963325183374,0.7334963325183375
2qtr,4,3,0.007334963325183374,0.7334963325183375
qtrq,4,2,0.004889975550122249,0.4889975550122249
trqt,4,3,0.007334963325183374,0.7334963325183375
oq,2,16,0.039119804400977995,3.9119804400977993
poq,3,1,0.0024449877750611247,0.24449877750611246
oqt,3,12,0.029339853300733496,2.93398533007335
qtp,3,2,0.004889975550122249,0.4889975550122249
rpoq,4,1,0.0024449877750611247,0.24449877750611246
poqt,4,1,0.0024449877750611247,0.24449877750611246
oqtp,4,1,0.0024449877750611247,0.24449877750611246
qtpo,4,2,0.004889975550122249,0.4889975550122249
4,1,3,0.007334963325183374,0.7334963325183375
os,2,38,0.09290953545232274,8.557457212713937
sp,2,13,0.03178484107579462,3.1784841075794623
o4,2,3,0.007334963325183374,0.7334963325183375
4p,2,1,0.0024449877750611247,0.24449877750611246
2os,3,5,0.012224938875305624,1.2224938875305624
osp,3,6,0.014669926650366748,1.466992665036675
spp,3,3,0.007334963325183374,0.7334963325183375
oo4,3,2,0.004889975550122249,0.4889975550122249
o4p,3,1,0.0024449877750611247,0.24449877750611246
4pt,3,1,0.0024449877750611247,0.24449877750611246
pta,3,1,0.0024449877750611247,0.24449877750611246
2osp,4,1,0.0024449877750611247,0.24449877750611246
ospp,4,2,0.004889975550122249,0.4889975550122249
sppo,4,3,0.007334963325183374,0.7334963325183375
ppoo,4,16,0.039119804400977995,3.9119804400977993
pooo,4,37,0.09046454767726161,8.80195599022005
ooo4,4,1,0.0024449877750611247,0.24449877750611246
oo4p,4,1,0.0024449877750611247,0.24449877750611246
o4pt,4,1,0.0024449877750611247,0.24449877750611246
4pta,4,1,0.0024449877750611247,0.24449877750611246
ptao,4,1,0.0024449877750611247,0.24449877750611246
aort,4,2,0.004889975550122249,0.4889975550122249
n3,2,1,0.0024449877750611247,0.24449877750611246
rn3,3,1,0.0024449877750611247,0.24449877750611246
n3o,3,1,0.0024449877750611247,0.24449877750611246
oos,3,15,0.03667481662591687,3.6674816625916873
orn3,4,1,0.0024449877750611247,0.24449877750611246
rn3o,4,1,0.0024449877750611247,0.24449877750611246
n3oo,4,1,0.0024449877750611247,0.24449877750611246
3ooo,4,1,0.0024449877750611247,0.24449877750611246
ooos,4,7,0.017114914425427872,1.7114914425427872
sr,2,19,0.04645476772616137,4.645476772616137
osr,3,11,0.02689486552567237,2.689486552567237
srn,3,11,0.02689486552567237,2.689486552567237
1poo,4,4,0.009779951100244499,0.9779951100244498
poos,4,2,0.004889975550122249,0.4889975550122249
oosr,4,6,0.014669926650366748,1.466992665036675
osrn,4,4,0.009779951100244499,0.9779951100244498
on,2,11,0.02689486552567237,2.689486552567237
oon,3,4,0.009779951100244499,0.9779951100244498
pos,3,10,0.02444987775061125,1.9559902200488997
1oop,4,1,0.0024449877750611247,0.24449877750611246
opos,4,6,0.014669926650366748,1.2224938875305624
1op,3,3,0.007334963325183374,0.7334963325183375
rtt,3,5,0.012224938875305624,1.2224938875305624
1opo,4,3,0.007334963325183374,0.7334963325183375
poro,4,4,0.009779951100244499,0.9779951100244498
oror,4,11,0.02689486552567237,2.689486552567237
rort,4,7,0.017114914425427872,1.7114914425427872
ortt,4,4,0.009779951100244499,0.9779951100244498
aq,2,2,0.004889975550122249,0.4889975550122249
t2,2,2,0.004889975550122249,0.4889975550122249
aqo,3,2,0.004889975550122249,0.4889975550122249
qot,3,5,0.012224938875305624,1.2224938875305624
ot2,3,1,0.0024449877750611247,0.24449877750611246
t2o,3,2,0.004889975550122249,0.4889975550122249
aqot,4,1,0.0024449877750611247,0.24449877750611246
qot2,4,1,0.0024449877750611247,0.24449877750611246
ot2o,4,1,0.0024449877750611247,0.24449877750611246
t2oo,4,1,0.0024449877750611247,0.24449877750611246
at,2,10,0.02444987775061125,2.444987775061125
2oa,3,2,0.004889975550122249,0.4889975550122249
oat,3,3,0.007334963325183374,0.7334963325183375
ato,3,4,0.009779951100244499,0.9779951100244498
2oat,4,1,0.0024449877750611247,0.24449877750611246
oato,4,2,0.004889975550122249,0.4889975550122249
atoo,4,1,0.0024449877750611247,0.24449877750611246
ooro,4,13,0.03178484107579462,3.1784841075794623
1ts,3,1,0.0024449877750611247,0.24449877750611246
tsr,3,6,0.014669926650366748,1.466992665036675
1tsr,4,1,0.0024449877750611247,0.24449877750611246
tsrn,4,6,0.014669926650366748,1.466992665036675
1oot,4,3,0.007334963325183374,0.7334963325183375
otsr,4,3,0.007334963325183374,0.7334963325183375
1s,2,1,0.0024449877750611247,0.24449877750611246
qp,2,2,0.004889975550122249,0.4889975550122249
1so,3,1,0.0024449877750611247,0.24449877750611246
sot,3,2,0.004889975550122249,0.4889975550122249
trr,3,4,0.009779951100244499,0.9779951100244498
rro,3,2,0.004889975550122249,0.4889975550122249
otq,3,1,0.0024449877750611247,0.24449877750611246
tqp,3,1,0.0024449877750611247,0.24449877750611246
qpo,3,2,0.004889975550122249,0.4889975550122249
1sot,4,1,0.0024449877750611247,0.24449877750611246
sotr,4,1,0.0024449877750611247,0.24449877750611246
otrr,4,2,0.004889975550122249,0.4889975550122249
trro,4,1,0.0024449877750611247,0.24449877750611246
rrot,4,2,0.004889975550122249,0.4889975550122249
rotq,4,1,0.0024449877750611247,0.24449877750611246
otqp,4,1,0.0024449877750611247,0.24449877750611246
tqpo,4,1,0.0024449877750611247,0.24449877750611246
qpoo,4,1,0.0024449877750611247,0.24449877750611246
1oq,3,1,0.0024449877750611247,0.24449877750611246
1oqt,4,1,0.0024449877750611247,0.24449877750611246
oqtr,4,3,0.007334963325183374,0.7334963325183375
qtrr,4,1,0.0024449877750611247,0.24449877750611246
trrq,4,2,0.004889975550122249,0.4889975550122249
ott,3,4,0.009779951100244499,0.9779951100244498
5ooa,4,1,0.0024449877750611247,0.24449877750611246
rott,4,2,0.004889975550122249,0.4889975550122249
ottr,4,1,0.0024449877750611247,0.24449877750611246
n5,2,1,0.0024449877750611247,0.24449877750611246
5r,2,1,0.0024449877750611247,0.24449877750611246
arq,3,1,0.0024449877750611247,0.24449877750611246
rn5,3,1,0.0024449877750611247,0.24449877750611246
n5r,3,1,0.0024449877750611247,0.24449877750611246
5rt,3,1,0.0024449877750611247,0.24449877750611246
tto,3,5,0.012224938875305624,1.2224938875305624
arqt,4,1,0.0024449877750611247,0.24449877750611246
trn5,4,1,0.0024449877750611247,0.24449877750611246
rn5r,4,1,0.0024449877750611247,0.24449877750611246
n5rt,4,1,0.0024449877750611247,0.24449877750611246
5rtt,4,1,0.0024449877750611247,0.24449877750611246
rtto,4,2,0.004889975550122249,0.4889975550122249
ttot,4,1,0.0024449877750611247,0.24449877750611246
t3,2,1,0.0024449877750611247,0.24449877750611246
1t3,3,1,0.0024449877750611247,0.24449877750611246
t3t,3,1,0.0024449877750611247,0.24449877750611246
3ts,3,1,0.0024449877750611247,0.24449877750611246
1t3t,4,1,0.0024449877750611247,0.24449877750611246
t3ts,4,1,0.0024449877750611247,0.24449877750611246
oorp,4,7,0.017114914425427872,1.7114914425427872
5t,2,8,0.019559902200488997,1.9559902200488997
5to,3,4,0.009779951100244499,0.9779951100244498
5toa,4,1,0.0024449877750611247,0.24449877750611246
pood,4,2,0.004889975550122249,0.4889975550122249
rtq,3,4,0.009779951100244499,0.9779951100244498
qor,3,5,0.012224938875305624,1.2224938875305624
otrt,4,5,0.012224938875305624,1.2224938875305624
trtq,4,1,0.0024449877750611247,0.24449877750611246
rtqo,4,3,0.007334963325183374,0.7334963325183375
tqor,4,1,0.0024449877750611247,0.24449877750611246
qorp,4,1,0.0024449877750611247,0.24449877750611246
ooq,3,9,0.022004889975550123,2.2004889975550124
oqo,3,3,0.007334963325183374,0.7334963325183375
trtp,4,1,0.0024449877750611247,0.24449877750611246
rtpp,4,1,0.0024449877750611247,0.24449877750611246
pooq,4,1,0.0024449877750611247,0.24449877750611246
ooqo,4,1,0.0024449877750611247,0.24449877750611246
oqoo,4,1,0.0024449877750611247,0.24449877750611246
ot1,3,1,0.0024449877750611247,0.24449877750611246
st,2,8,0.019559902200488997,1.7114914425427872
st2,3,1,0.0024449877750611247,0.24449877750611246
st2o,4,1,0.0024449877750611247,0.24449877750611246
t2or,4,1,0.0024449877750611247,0.24449877750611246
2orq,4,3,0.007334963325183374,0.7334963325183375
6p,2,1,0.0024449877750611247,0.24449877750611246
6po,3,1,0.0024449877750611247,0.24449877750611246
6pot,4,1,0.0024449877750611247,0.24449877750611246
otro,4,2,0.004889975550122249,0.4889975550122249
3tr,3,2,0.004889975550122249,0.4889975550122249
3trr,4,1,0.0024449877750611247,0.24449877750611246
3to,3,2,0.004889975550122249,0.4889975550122249
qts,3,5,0.012224938875305624,1.2224938875305624
3too,4,1,0.0024449877750611247,0.24449877750611246
tooq,4,3,0.007334963325183374,0.7334963325183375
ooqt,4,7,0.017114914425427872,1.7114914425427872
oqts,4,1,0.0024449877750611247,0.24449877750611246
3trq,4,1,0.0024449877750611247,0.24449877750611246
nt,2,18,0.044009779951100246,4.400977995110025
rnt,3,13,0.03178484107579462,3.1784841075794623
2qto,4,2,0.004889975550122249,0.4889975550122249
ornt,4,9,0.022004889975550123,2.2004889975550124
pots,4,1,0.0024449877750611247,0.24449877750611246
2por,4,11,0.02689486552567237,2.689486552567237
rtro,4,2,0.004889975550122249,0.4889975550122249
rtrp,4,1,0.0024449877750611247,0.24449877750611246
2ort,4,10,0.02444987775061125,2.444987775061125
orto,4,14,0.034229828850855744,3.4229828850855744
rtoo,4,14,0.034229828850855744,3.4229828850855744
ooot,4,6,0.014669926650366748,1.466992665036675
ootr,4,11,0.02689486552567237,2.689486552567237
trnt,4,4,0.009779951100244499,0.9779951100244498
ros,3,2,0.004889975550122249,0.4889975550122249
srt,3,5,0.012224938875305624,1.2224938875305624
2pop,4,5,0.012224938875305624,1.2224938875305624
oros,4,2,0.004889975550122249,0.4889975550122249
rosr,4,2,0.004889975550122249,0.4889975550122249
osrt,4,5,0.012224938875305624,1.2224938875305624
3oto,4,1,0.0024449877750611247,0.24449877750611246
tooa,4,2,0.004889975550122249,0.4889975550122249
aooo,4,7,0.017114914425427872,1.7114914425427872
2oro,4,14,0.034229828850855744,3.4229828850855744
2ots,4,1,0.0024449877750611247,0.24449877750611246
poop,4,10,0.02444987775061125,2.444987775061125
posp,4,4,0.009779951100244499,0.9779951100244498
ppos,4,1,0.0024449877750611247,0.24449877750611246
1qto,4,2,0.004889975550122249,0.4889975550122249
qtop,4,1,0.0024449877750611247,0.24449877750611246
ps,2,2,0.004889975550122249,0.4889975550122249
tps,3,1,0.0024449877750611247,0.24449877750611246
pso,3,1,0.0024449877750611247,0.24449877750611246
soa,3,1,0.0024449877750611247,0.24449877750611246
2otp,4,2,0.004889975550122249,0.4889975550122249
otps,4,1,0.0024449877750611247,0.24449877750611246
tpso,4,1,0.0024449877750611247,0.24449877750611246
psoa,4,1,0.0024449877750611247,0.24449877750611246
soao,4,1,0.0024449877750611247,0.24449877750611246
atp,3,2,0.004889975550122249,0.4889975550122249
2ooa,4,2,0.004889975550122249,0.4889975550122249
ooat,4,2,0.004889975550122249,0.4889975550122249
oatp,4,1,0.0024449877750611247,0.24449877750611246
atpo,4,1,0.0024449877750611247,0.24449877750611246
nn,2,88,0.21515892420537897,15.892420537897312
rnn,3,57,0.1393643031784841,13.691931540342297
ornn,4,39,0.09535452322738386,9.535452322738386
spo,3,10,0.02444987775061125,2.444987775061125
2trp,4,3,0.007334963325183374,0.7334963325183375
rpos,4,1,0.0024449877750611247,0.24449877750611246
ospo,4,4,0.009779951100244499,0.9779951100244498
spoo,4,6,0.014669926650366748,1.466992665036675
poot,4,7,0.017114914425427872,1.7114914425427872
sa,2,4,0.009779951100244499,0.9779951100244498
3op,3,2,0.004889975550122249,0.4889975550122249
ops,3,1,0.0024449877750611247,0.24449877750611246
psa,3,1,0.0024449877750611247,0.24449877750611246
sao,3,4,0.009779951100244499,0.9779951100244498
3ops,4,1,0.0024449877750611247,0.24449877750611246
opsa,4,1,0.0024449877750611247,0.24449877750611246
psao,4,1,0.0024449877750611247,0.24449877750611246
porq,4,6,0.014669926650366748,1.466992665036675
nd,2,14,0.034229828850855744,3.4229828850855744
rnd,3,12,0.029339853300733496,2.93398533007335
ornd,4,7,0.017114914425427872,1.7114914425427872
ra,2,7,0.017114914425427872,1.7114914425427872
tra,3,3,0.007334963325183374,0.7334963325183375
